regiao,uf,municipio,co_ibge,cnes,comp,nome_estabelecimento,razao_social,tipo_gestao,ds_tipo_unidade,desc_natureza_juridica,leitos_existentes,leitos_sus,populacao,id_estabelecimento,existentes_nao_sus,percentual_sus
SUDESTE,RJ,ARMACAO DOS BUZIOS,330023,6200702,202603,HOSPITAL MUNICIPAL DR RODOLPHO PERISSE,PREFEITURA MUNICIPAL DE ARMACAO DOS BUZIOS,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,93,91,42527.0,6200702,2,97.84946236559139
SUDESTE,RJ,ARRAIAL DO CABO,330025,2267802,202603,HOSPITAL GERAL DE ARRAIAL DO CABO,SECRETARIA MUNICIPAL DE SAUDE DE ARRAIAL DO CABO,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,84,75,32822.0,2267802,9,89.28571428571429
SUDESTE,RJ,BARRA DO PIRAI,330030,0850160,202603,UPA 24 HORAS BARRA DO PIRAI,FUNDO MUNICIPAL DE SAUDE DE BARRA DO PIRAI,Municipal,PRONTO SOCORRO GERAL,HOSPITAL_PÚBLICO,5,5,98506.0,0850160,0,100.0
SUDESTE,RJ,BARRA DO PIRAI,330030,2287919,202603,CASA DE CARIDADE SANTA RITA,CASA DE CARIDADE SANTA RITA,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,107,84,98506.0,2287919,23,78.50467289719626
SUDESTE,RJ,BARRA DO PIRAI,330030,2287927,202603,HOSPITAL E MATERNIDADE MARIA DE NAZARE,CENTRO ESPIRITA PAI JOSE CAMBINDA,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,79,58,98506.0,2287927,21,73.41772151898735
SUDESTE,RJ,BARRA DO PIRAI,330030,2799308,202603,CRUZ VERMELHA BRASILEIRA RJ BARRA DO PIRAI,CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO RIO DE JANEIRO,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_FILANTRÓPICO,100,100,98506.0,2799308,0,100.0
SUDESTE,RJ,BARRA DO PIRAI,330030,7415273,202603,CONSULTORIO UNIMED 24 HORAS,UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MEDICO,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,23,0,98506.0,7415273,23,0.0
SUDESTE,RJ,BARRA MANSA,330040,2280051,202603,SANTA CASA DE MISERICORDIA DE BARRA MANSA,SANTA CASA DE MISERICORDIA DE BARRA MANSA,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,240,163,181679.0,2280051,77,67.91666666666667
SUDESTE,RJ,BARRA MANSA,330040,2289377,202603,INTENSIBARRA,CENTRO DE TRATAMENTO INTENSIVO DE BARRA MANSA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,20,0,181679.0,2289377,20,0.0
SUDESTE,RJ,BARRA MANSA,330040,2296977,202603,CASA DE SAUDE SANTA MARIA SA,CASA DE SAUDE SANTA MARIA SA,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,124,0,181679.0,2296977,124,0.0
SUDESTE,RJ,BARRA MANSA,330040,4090101,202603,SEST SERVICO SOCIAL DO TRANSPORTE,SEST SERVICO SOCIAL DO TRANSPORTE,Municipal,UNIDADE MISTA,HOSPITAL_FILANTRÓPICO,4,0,181679.0,4090101,4,0.0
SUDESTE,RJ,BARRA MANSA,330040,4104269,202603,PLAZA MEDICAL SERVICOS ESPECIALIZADOS EM SAUDE,PLAZA MEDICAL SERVICOS ESPECIALIZADOS EM SAUDE LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,10,0,181679.0,4104269,10,0.0
SUDESTE,RJ,BARRA MANSA,330040,5829593,202603,ANGIO BARRA,ANGIO BARRA MANSA HEMODINAMICA E CIRURGIAS CARDIOVASCULARES,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,5,0,181679.0,5829593,5,0.0
SUDESTE,RJ,BARRA MANSA,330040,5878640,202603,HOSPITAL MATERNIDADE THERESA SACCHI DE MOURA,HOSPITAL MATERNO INFANTIL DE BARRA MANSA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PÚBLICO,38,38,181679.0,5878640,0,100.0
SUDESTE,RJ,BARRA MANSA,330040,6392415,202603,INTENSI BABY,CENTRO PERINATAL E PEDIATRICO SANTA MARIA LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,10,0,181679.0,6392415,10,0.0
SUDESTE,RJ,BARRA MANSA,330040,7711697,202603,CASA CLINICA DE ATENCAO A SAUDE AMPLIADA SOCIEDADE EMPRESA,CASA CLINICA DE ATENCAO A SAUDE AMPLIADA SOCIEDADE EMPRESA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,21,0,181679.0,7711697,21,0.0
SUDESTE,RJ,BELFORD ROXO,330045,0052825,202603,SOPHIA MEDIC SERVICOS MEDICOS E CIRURGICOS LTDA,SOPHIA MEDIC SERVICOS MEDICOS E CIRURGICOS LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,50,50,518384.0,0052825,0,100.0
SUDESTE,RJ,BELFORD ROXO,330045,2289571,202603,HOSPITAL MUNICIPAL DE BELFORD ROXO,SMS BELFORD ROXO,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,65,65,518384.0,2289571,0,100.0
SUDESTE,RJ,BELFORD ROXO,330045,2289709,202603,HOSPITAL DE CLINICAS BELFORD ROXO,CASA DE SAUDE E MATERNIDADE BELFORD ROXO LTDA,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,91,0,518384.0,2289709,91,0.0
SUDESTE,RJ,BELFORD ROXO,330045,2296764,202603,CASA DE SAUDE E MATERNIDADE NOSSA SENHORA DA GLORIA,CASA DE SAUDE E MATERNIDADE XV DE AGOSTO LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,40,0,518384.0,2296764,40,0.0
SUDESTE,RJ,BELFORD ROXO,330045,2969734,202603,HOSPITAL INFANTIL MILENE ISABELY CHRISTOVAM,MUNICIPIO DE BELFORD ROXO,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,32,32,518384.0,2969734,0,100.0
SUDESTE,RJ,BELFORD ROXO,330045,5445329,202603,CONTEX SOLUCOES E SERVICOS LTDA,CONTEX SOLUCOES E SERVICOS LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,64,64,518384.0,5445329,0,100.0
SUDESTE,RJ,BELFORD ROXO,330045,5811406,202603,INSTITUTO ELISA DE CASTRO,INSTITUTO ELISA DE CASTRO,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,94,94,518384.0,5811406,0,100.0
SUDESTE,RJ,BELFORD ROXO,330045,5886740,202603,MATERNIDADE MUNICIPAL DE BELFORD ROXO,MUNICIPIO DE BELFORD ROXO,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PÚBLICO,60,54,518384.0,5886740,6,90.0
SUDESTE,RJ,BELFORD ROXO,330045,5892732,202603,DESAM,DESENVOLVIMENTO DE ASSISTENCIA MULTIPLA DESAM,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,31,0,518384.0,5892732,31,0.0
SUDESTE,RJ,BELFORD ROXO,330045,6291724,202603,NEOPED,NEOPED UNIDADE NEONATAL E PEDIATRICA LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,4,0,518384.0,6291724,4,0.0
SUDESTE,RJ,BELFORD ROXO,330045,8219982,202603,CCA SERVICOS,CCA SERVICOS MEDICOS LTDA,Municipal,HOSPITAL ESPECIALIZADO,HOSPITAL_PRIVADO,64,0,518384.0,8219982,64,0.0
SUDESTE,RJ,BOM JARDIM,330050,2282801,202603,HOSPITAL DR CELSO ERTHAL,SANTA CASA DE BOM JARDIM,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,67,62,29758.0,2282801,5,92.53731343283582
